issue_key,summary,status,priority,assignee,module,created,updated,resolutiondate,story_points,labels,customfield_10001
BUG-001,登录崩溃,In Progress,Medium,zhaoliu,Auth,2024-03-25,2024-03-25,,5,"performance,functional",
BUG-002,登录卡顿,Closed,Critical,chenni,Media,2024-03-19,2024-03-19,,2,"functional,crash,performance",
BUG-003,相册崩溃,In Progress,Medium,zhaoliu,Auth,2024-03-25,2024-03-27,,8,"ui_bug,regression",
BUG-004,相册卡顿,Closed,Medium,wangwu,Gallery,2024-03-04,2024-03-06,2024-03-06,5,"hardware,ui_bug",MP_Block
BUG-005,视频卡顿,Resolved,Blocker,wangwu,Camera,2024-03-04,2024-03-04,2024-03-06,8,crash,
BUG-006,登录异常,In Progress,Critical,chenni,Audio,2024-03-20,2024-03-22,,5,ui_bug,
BUG-007,相册延迟,Resolved,Medium,lisi,Gallery,2024-03-22,2024-03-25,2024-03-30,3,hardware,
BUG-008,UI崩溃,In Progress,Low,wangwu,Media,2024-03-04,2024-03-04,,5,hardware,快稳省
BUG-009,摄像头无声,Resolved,Low,wangwu,Media,2024-03-06,2024-03-06,2024-03-08,8,"ui_bug,hardware,performance",
BUG-010,录音崩溃,Closed,High,lisi,Gallery,2024-03-18,2024-03-20,2024-03-21,2,"crash,performance",
BUG-011,录音闪退,In Progress,Medium,zhaoliu,Media,2024-03-10,2024-03-11,,3,"performance,hardware,ui_bug",
BUG-012,视频模糊,In Progress,High,lisi,Gallery,2024-03-16,2024-03-18,2024-03-18,3,performance,快稳省
BUG-013,登录无声,In Progress,Medium,wangwu,Algorithm,2024-03-22,2024-03-23,,1,"performance,regression",
BUG-014,相册无声,In Progress,High,lisi,Algorithm,2024-03-06,2024-03-07,2024-03-07,3,"crash,ui_bug",
BUG-015,摄像头模糊,In Progress,Medium,zhaoliu,Algorithm,2024-03-09,2024-03-12,,3,"functional,crash",快稳省
BUG-016,登录崩溃,In Progress,Blocker,chenni,UI,2024-03-15,2024-03-18,,1,"ui_bug,functional,regression",
BUG-017,摄像头崩溃,Resolved,Critical,zhangsan,Algorithm,2024-03-16,2024-03-17,2024-03-19,5,"crash,regression,ui_bug",
BUG-018,视频闪退,Resolved,Critical,zhangsan,Algorithm,2024-03-03,2024-03-04,2024-03-06,1,"performance,crash,functional",快稳省
BUG-019,登录闪退,Resolved,Low,zhaoliu,Algorithm,2024-03-11,2024-03-11,2024-03-16,1,hardware,
BUG-020,UI卡顿,Closed,Low,zhangsan,UI,2024-03-16,2024-03-17,2024-03-21,5,functional,
BUG-021,视频闪退,Resolved,Low,lisi,Auth,2024-03-07,2024-03-07,2024-03-12,5,"functional,regression",
BUG-022,视频模糊,Resolved,High,chenni,Camera,2024-03-22,2024-03-24,2024-03-25,3,"performance,regression",
BUG-023,摄像头崩溃,In Progress,Critical,lisi,Algorithm,2024-03-23,2024-03-23,,5,"functional,crash,performance",
BUG-024,UI卡顿,In Review,Medium,chenni,Gallery,2024-03-17,2024-03-17,,5,"regression,hardware",
BUG-025,摄像头异常,Closed,Medium,zhangsan,Auth,2024-03-21,2024-03-23,2024-03-28,8,"crash,functional,regression",
BUG-026,算法模糊,In Progress,Medium,lisi,Algorithm,2024-03-15,2024-03-17,,2,"regression,functional,hardware",
BUG-027,摄像头异常,Open,Medium,lisi,Camera,2024-03-15,2024-03-17,,8,"crash,regression,ui_bug",快稳省
BUG-028,录音闪退,Resolved,Medium,lisi,Algorithm,2024-03-25,2024-03-25,2024-03-30,3,"ui_bug,regression",
BUG-029,录音无声,Open,Critical,zhaoliu,Auth,2024-03-23,2024-03-24,,8,"performance,hardware",
BUG-030,摄像头模糊,In Progress,Blocker,zhaoliu,Auth,2024-03-20,2024-03-23,,2,"crash,regression",
BUG-031,UI闪退,Resolved,Critical,zhaoliu,Gallery,2024-03-17,2024-03-19,2024-03-20,3,functional,
BUG-032,登录卡顿,Closed,Critical,wangwu,Gallery,2024-03-08,2024-03-09,,3,"regression,functional",
BUG-033,UI闪退,Open,Low,lisi,Algorithm,2024-03-18,2024-03-21,,8,"hardware,functional,performance",MP_Block
BUG-034,摄像头闪退,In Review,Medium,chenni,Algorithm,2024-03-20,2024-03-20,,5,hardware,
BUG-035,算法模糊,In Progress,High,zhangsan,Algorithm,2024-03-12,2024-03-13,,5,functional,
